20L      TEDDY 200924 0000  49.7N   58.2W ATL   45   975
20L      TEDDY 200923 1800  47.4N   60.4W ATL   50   974
20L      TEDDY 200923 1800  47.4N   60.4W ATL   50   974
20L      TEDDY 200923 1200  45.0N   62.1W ATL   55   964
20L      TEDDY 200923 1200  45.0N   62.1W ATL   55   964
20L      TEDDY 200923 0600  43.2N   63.3W ATL   60   957
20L      TEDDY 200923 0600  43.2N   63.3W ATL   60   957
20L      TEDDY 200923 0000  41.8N   64.2W ATL   70   955
20L      TEDDY 200923 0000  41.8N   64.2W ATL   70   955
20L      TEDDY 200923 0000  41.8N   64.2W ATL   70   955
20L      TEDDY 200922 1800  40.3N   64.2W ATL   80   953
20L      TEDDY 200922 1800  40.3N   64.2W ATL   80   953
20L      TEDDY 200922 1800  40.3N   64.2W ATL   80   953
20L      TEDDY 200922 1200  39.1N   63.5W ATL   90   950
20L      TEDDY 200922 1200  39.1N   63.5W ATL   90   950
20L      TEDDY 200922 1200  39.1N   63.5W ATL   90   950
20L      TEDDY 200922 0600  37.6N   62.1W ATL   90   950
20L      TEDDY 200922 0600  37.6N   62.1W ATL   90   950
20L      TEDDY 200922 0600  37.6N   62.1W ATL   90   950
20L      TEDDY 200922 0000  34.6N   61.4W ATL   85   956
20L      TEDDY 200922 0000  34.6N   61.4W ATL   85   956
20L      TEDDY 200922 0000  34.6N   61.4W ATL   85   956
20L      TEDDY 200921 1800  32.2N   61.8W ATL   80   958
20L      TEDDY 200921 1800  32.2N   61.8W ATL   80   958
20L      TEDDY 200921 1800  32.2N   61.8W ATL   80   958
20L      TEDDY 200921 1200  30.5N   62.9W ATL   80   960
20L      TEDDY 200921 1200  30.5N   62.9W ATL   80   960
20L      TEDDY 200921 1200  30.5N   62.9W ATL   80   960
20L      TEDDY 200921 0600  29.7N   63.5W ATL   85   962
20L      TEDDY 200921 0600  29.7N   63.5W ATL   85   962
20L      TEDDY 200921 0600  29.7N   63.5W ATL   85   962
20L      TEDDY 200921 0000  29.0N   63.7W ATL   90   963
20L      TEDDY 200921 0000  29.0N   63.7W ATL   90   963
20L      TEDDY 200921 0000  29.0N   63.7W ATL   90   963
20L      TEDDY 200920 1800  28.5N   63.3W ATL   90   964
20L      TEDDY 200920 1800  28.5N   63.3W ATL   90   964
20L      TEDDY 200920 1800  28.5N   63.3W ATL   90   964
20L      TEDDY 200920 1200  28.0N   62.6W ATL   90   964
20L      TEDDY 200920 1200  28.0N   62.6W ATL   90   964
20L      TEDDY 200920 1200  28.0N   62.6W ATL   90   964
20L      TEDDY 200920 0600  27.5N   61.9W ATL  100   958
20L      TEDDY 200920 0600  27.5N   61.9W ATL  100   958
20L      TEDDY 200920 0600  27.5N   61.9W ATL  100   958
20L      TEDDY 200920 0000  26.9N   60.8W ATL  105   956
20L      TEDDY 200920 0000  26.9N   60.8W ATL  105   956
20L      TEDDY 200920 0000  26.9N   60.8W ATL  105   956
20L      TEDDY 200919 1800  26.3N   59.8W ATL  105   958
20L      TEDDY 200919 1800  26.3N   59.8W ATL  105   958
20L      TEDDY 200919 1800  26.3N   59.8W ATL  105   958
20L      TEDDY 200919 1200  25.5N   58.6W ATL  105   958
20L      TEDDY 200919 1200  25.5N   58.6W ATL  105   958
